Province,Commune,FEM_TOT,MAL_TOT,MAL_18_24,MAL_25_35,MAL_36_45,MAL_46_60,FEM_18_24,FEM_25_35,FEM_36_45,FEM_46_60,M_over61,F_over61
Banteay Meanchey,Paoy Paet,17099,17019,2561,2850,2442,1665,2679,3006,2350,1833,630,707
Banteay Meanchey,Paoy Paet,12286,12450,1215,1261,1336,1481,1226,1286,1347,1494,159,160
Banteay Meanchey,Paoy Paet,4086,4176,430,591,575,705,438,560,525,642,48,50
Banteay Meanchey,Paoy Paet,629,705,84,118,37,132,82,127,44,113,13,10
Banteay Meanchey,Paoy Paet,959,1016,165,191,124,108,140,169,108,114,25,34
Banteay Meanchey,Paoy Paet,400,434,50,35,40,42,40,40,40,40,30,20
Banteay Meanchey,Paoy Paet,295,307,44,69,27,31,36,42,19,24,7,10
Banteay Meanchey,Paoy Paet,2576,2574,292,274,235,216,350,317,229,288,109,130
Banteay Meanchey,Paoy Paet,4855,4478,692,724,660,403,816,716,671,531,97,98
Banteay Meanchey,Paoy Paet,633,810,54,107,108,169,110,105,80,59,22,17
Banteay Meanchey,Paoy Paet,2178,2178,398,83,298,202,398,83,298,202,40,40
Banteay Meanchey,Nimitt,972,916,121,173,141,113,169,154,147,114,37,57
Banteay Meanchey,Nimitt,382,367,74,64,29,52,75,64,36,70,22,28
Banteay Meanchey,Nimitt,694,710,62,97,62,24,69,73,92,63,24,50
Banteay Meanchey,Nimitt,539,699,103,115,122,82,86,93,59,64,81,56
Banteay Meanchey,Nimitt,371,844,139,149,77,102,68,72,43,55,49,15
Banteay Meanchey,Nimitt,1078,1044,106,109,107,103,107,112,108,102,101,101
Banteay Meanchey,Nimitt,1049,1035,179,148,96,95,170,145,98,106,38,28
Banteay Meanchey,Nimitt,493,485,76,68,69,51,74,72,70,53,25,21
Banteay Meanchey,Nimitt,855,895,145,127,80,78,118,120,104,121,28,33
Banteay Meanchey,Nimitt,813,823,114,117,138,68,133,130,102,70,22,31
Banteay Meanchey,Nimitt,431,408,72,51,67,36,60,63,53,52,12,9
Banteay Meanchey,Nimitt,447,418,85,66,48,32,65,55,77,39,11,15
Banteay Meanchey,Nimitt,167,175,30,18,24,17,20,20,25,20,8,12
Banteay Meanchey,Nimitt,455,476,44,57,53,45,46,53,47,53,23,13
Banteay Meanchey,Nimitt,395,394,72,44,36,46,73,43,46,41,9,15
Banteay Meanchey,Banteay Neang,825,825,143,152,82,77,143,152,82,77,44,44
Banteay Meanchey,Banteay Neang,1002,999,184,104,138,102,187,106,158,102,110,100
Banteay Meanchey,Banteay Neang,1039,970,178,141,91,104,164,157,109,111,48,42
Banteay Meanchey,Banteay Neang,448,377,70,24,40,39,77,80,50,46,39,45
Banteay Meanchey,Banteay Neang,363,401,54,98,25,32,65,74,34,35,28,34
Banteay Meanchey,Banteay Neang,500,588,93,104,72,67,40,122,62,60,38,37
Banteay Meanchey,Banteay Neang,611,681,106,90,40,43,98,80,35,39,140,145
Banteay Meanchey,Banteay Neang,302,286,62,52,27,28,49,49,39,37,9,17
Banteay Meanchey,Banteay Neang,507,550,119,65,68,79,104,66,47,77,24,19
Banteay Meanchey,Banteay Neang,588,520,60,45,95,45,70,75,105,90,50,60
Banteay Meanchey,Banteay Neang,998,1016,152,105,82,51,153,105,53,51,32,42
Banteay Meanchey,Banteay Neang,438,355,52,64,51,27,47,66,50,96,20,36
Banteay Meanchey,Banteay Neang,487,537,68,97,85,47,74,75,47,50,18,21
Banteay Meanchey,Banteay Neang,512,554,76,89,68,35,85,83,53,69,24,38
Banteay Meanchey,Banteay Neang,189,183,22,13,11,12,20,31,21,10,11,11
Banteay Meanchey,Banteay Neang,228,237,26,33,33,38,11,40,48,40,22,17
Banteay Meanchey,Banteay Neang,451,363,55,48,42,34,75,66,52,39,24,41
Banteay Meanchey,Banteay Neang,1023,1099,85,81,80,106,75,73,82,108,50,46
Banteay Meanchey,Banteay Neang,516,439,60,65,18,35,75,65,22,35,13,13
Banteay Meanchey,Bat Trang,131,139,17,31,11,15,19,24,11,17,10,12
Banteay Meanchey,Bat Trang,269,312,23,45,35,58,36,30,32,42,10,6
Banteay Meanchey,Bat Trang,602,750,94,94,39,70,85,88,67,65,30,42
Banteay Meanchey,Bat Trang,306,526,56,65,56,45,26,25,27,16,36,26
Banteay Meanchey,Bat Trang,270,224,45,30,22,24,45,53,23,28,14,21
Banteay Meanchey,Bat Trang,261,271,32,55,29,30,37,35,35,46,19,23
Banteay Meanchey,Bat Trang,245,220,40,34,22,36,50,34,32,36,18,18
Banteay Meanchey,Bat Trang,312,297,47,57,33,25,40,54,40,34,17,28
Banteay Meanchey,Bat Trang,362,293,45,50,18,26,56,68,28,26,25,32
Banteay Meanchey,Bat Trang,359,358,35,50,55,43,46,55,39,34,45,10
Banteay Meanchey,Bat Trang,230,229,29,38,22,23,30,50,14,29,13,17
Banteay Meanchey,Chamnaom,306,286,46,49,33,23,47,56,31,24,22,25
Banteay Meanchey,Chamnaom,544,573,65,56,60,47,57,59,56,48,45,29
Banteay Meanchey,Chamnaom,485,481,97,75,51,46,70,77,57,47,23,42
Banteay Meanchey,Chamnaom,390,380,37,42,45,75,34,52,47,78,77,70
Banteay Meanchey,Chamnaom,862,1064,127,123,80,91,161,50,142,109,171,74
Banteay Meanchey,Chamnaom,384,378,65,70,48,49,79,60,44,43,22,24
Banteay Meanchey,Chamnaom,519,576,122,62,56,70,85,74,58,80,85,75
Banteay Meanchey,Chamnaom,530,589,65,47,58,56,96,77,79,88,43,21
Banteay Meanchey,Chamnaom,284,313,61,44,33,28,50,44,33,33,10,13
Banteay Meanchey,Chamnaom,456,457,45,62,64,44,55,56,64,56,19,34
Banteay Meanchey,Chamnaom,299,305,65,42,28,25,52,36,29,35,16,18
Banteay Meanchey,Chamnaom,471,472,77,93,44,34,71,83,31,54,36,35
Banteay Meanchey,Chamnaom,514,564,122,121,44,44,105,70,51,78,21,10
Banteay Meanchey,Chamnaom,344,292,55,55,36,29,58,51,30,36,8,18
Banteay Meanchey,Chamnaom,216,284,27,39,20,20,38,31,27,31,9,8
Banteay Meanchey,Chamnaom,173,183,31,40,12,13,30,31,14,28,12,14
Banteay Meanchey,Chamnaom,723,727,92,83,69,92,109,70,74,118,80,25
Banteay Meanchey,Chamnaom,521,490,73,59,53,53,52,60,57,50,16,18
Banteay Meanchey,Chamnaom,95,89,21,10,6,7,20,10,7,7,2,3
Banteay Meanchey,Kouk Ballangk,1049,443,60,101,95,16,18,40,146,235,17,160
Banteay Meanchey,Kouk Ballangk,388,294,44,49,32,27,52,53,33,29,11,12
Banteay Meanchey,Kouk Ballangk,364,374,45,43,42,36,53,45,44,34,23,34
Banteay Meanchey,Kouk Ballangk,344,585,124,24,44,45,42,42,40,45,36,12
Banteay Meanchey,Kouk Ballangk,238,562,50,61,67,58,48,43,21,24,34,11
Banteay Meanchey,Kouk Ballangk,313,315,37,42,41,49,37,43,34,39,11,10
Banteay Meanchey,Kouk Ballangk,997,909,60,190,150,20,69,210,160,30,18,25
Banteay Meanchey,Kouk Ballangk,378,377,38,39,38,25,33,36,42,29,29,27
Banteay Meanchey,Koy Maeng,485,343,55,55,48,36,63,63,151,39,17,25
Banteay Meanchey,Koy Maeng,463,398,72,74,36,55,93,71,44,66,25,25
Banteay Meanchey,Koy Maeng,427,445,78,81,45,51,71,64,45,63,28,27
Banteay Meanchey,Koy Maeng,240,260,47,45,20,28,31,35,22,40,10,19
Banteay Meanchey,Koy Maeng,336,310,68,50,37,36,54,45,41,35,9,23
Banteay Meanchey,Koy Maeng,366,324,23,50,52,42,21,69,56,52,40,60
Banteay Meanchey,Koy Maeng,665,630,122,110,66,69,117,115,59,76,38,43
Banteay Meanchey,Koy Maeng,919,917,177,175,109,120,179,175,109,120,32,32
Banteay Meanchey,Ou Prasat,828,814,110,160,80,58,150,175,115,80,50,38
Banteay Meanchey,Ou Prasat,571,518,110,96,53,60,95,105,75,76,20,46
Banteay Meanchey,Ou Prasat,468,483,45,45,94,65,69,84,62,42,45,38
Banteay Meanchey,Ou Prasat,572,525,87,95,43,51,104,59,92,64,18,2
Banteay Meanchey,Ou Prasat,440,432,76,54,53,57,70,56,54,64,35,46
Banteay Meanchey,Ou Prasat,467,467,71,74,68,38,71,74,68,38,34,34
Banteay Meanchey,Ou Prasat,395,373,77,67,42,35,74,66,45,48,20,15
Banteay Meanchey,Ou Prasat,255,235,15,34,34,34,30,32,31,35,39,35
Banteay Meanchey,Ou Prasat,531,578,100,53,50,51,118,45,56,55,27,30
Banteay Meanchey,Ou Prasat,462,515,100,68,73,54,27,56,66,60,24,47
Banteay Meanchey,Ou Prasat,626,688,98,129,130,78,82,80,94,84,37,49
Banteay Meanchey,Ou Prasat,525,603,89,77,61,47,69,61,64,47,32,34
Banteay Meanchey,Ou Prasat,426,429,70,70,35,40,68,57,41,45,20,24
Banteay Meanchey,Ou Prasat,434,596,42,67,91,62,26,44,50,30,27,27
Banteay Meanchey,Phnum Touch,867,839,151,168,99,87,126,172,75,120,67,89
Banteay Meanchey,Phnum Touch,685,724,136,129,82,81,107,121,82,98,36,40
Banteay Meanchey,Phnum Touch,567,514,123,53,54,67,95,54,92,74,13,15
Banteay Meanchey,Phnum Touch,599,674,135,115,62,42,105,100,51,58,78,57
Banteay Meanchey,Phnum Touch,332,332,61,51,23,39,51,55,28,43,11,14
Banteay Meanchey,Phnum Touch,318,270,35,35,27,25,35,54,96,30,19,16
Banteay Meanchey,Phnum Touch,245,282,38,25,35,50,32,30,40,12,27,15
Banteay Meanchey,Phnum Touch,606,599,100,110,76,51,78,98,97,88,13,11
Banteay Meanchey,Phnum Touch,502,476,70,51,60,57,75,54,63,62,51,55
Banteay Meanchey,Phnum Touch,476,467,72,83,60,53,71,72,67,51,50,48
Banteay Meanchey,Rohat Tuek,681,663,121,102,65,70,120,101,64,65,58,50
Banteay Meanchey,Rohat Tuek,185,193,44,34,18,21,42,34,17,18,17,15
Banteay Meanchey,Rohat Tuek,461,458,83,68,55,16,70,82,41,51,19,35
Banteay Meanchey,Rohat Tuek,583,554,92,93,59,57,97,88,59,67,20,35
Banteay Meanchey,Rohat Tuek,405,399,66,92,33,29,66,61,53,50,21,5
Banteay Meanchey,Rohat Tuek,291,304,49,48,47,22,33,46,45,61,16,19
Banteay Meanchey,Rohat Tuek,80,72,10,17,7,5,11,16,8,5,4,3
Banteay Meanchey,Rohat Tuek,548,490,60,70,45,48,82,60,46,66,51,64
Banteay Meanchey,Rohat Tuek,687,656,108,99,59,89,94,113,41,120,16,20
Banteay Meanchey,Rohat Tuek,608,606,71,78,78,63,71,78,72,62,65,65
Banteay Meanchey,Rohat Tuek,509,540,110,119,25,36,65,132,12,48,75,35
Banteay Meanchey,Rohat Tuek,514,494,78,79,52,39,76,79,54,48,37,50
Banteay Meanchey,Rohat Tuek,344,341,59,44,29,45,55,54,28,51,23,19
Banteay Meanchey,Ruessei Kraok,435,399,97,59,43,45,71,67,49,53,26,40
Banteay Meanchey,Ruessei Kraok,1289,1289,118,340,101,114,118,340,101,114,62,62
Banteay Meanchey,Ruessei Kraok,551,535,20,45,33,38,52,70,61,130,15,26
Banteay Meanchey,Ruessei Kraok,548,528,104,62,58,67,88,92,71,70,41,29
Banteay Meanchey,Ruessei Kraok,615,567,104,119,57,77,94,128,64,98,33,55
Banteay Meanchey,Ruessei Kraok,489,455,67,91,35,41,78,95,36,54,54,73
Banteay Meanchey,Ruessei Kraok,753,831,105,152,92,103,93,128,76,100,53,49
Banteay Meanchey,Ruessei Kraok,426,397,80,87,38,50,73,109,35,78,33,45
Banteay Meanchey,Ruessei Kraok,971,892,151,130,89,140,205,125,110,152,30,25
Banteay Meanchey,Ruessei Kraok,386,337,53,51,26,42,66,50,30,53,29,37
Banteay Meanchey,Ruessei Kraok,445,405,68,64,48,44,96,79,40,66,33,31
Banteay Meanchey,Ruessei Kraok,1166,1145,131,142,135,134,133,144,137,134,134,136
Banteay Meanchey,Ruessei Kraok,410,416,82,67,44,59,82,67,44,53,35,35
Banteay Meanchey,Ruessei Kraok,1916,1916,357,283,197,240,357,283,197,240,102,102
Banteay Meanchey,Ruessei Kraok,268,304,63,46,31,31,36,56,27,45,43,22
Banteay Meanchey,Ruessei Kraok,4643,4656,420,502,630,464,420,502,603,464,373,373
Banteay Meanchey,Ruessei Kraok,670,658,112,105,57,55,50,120,115,75,32,35
Banteay Meanchey,Sambuor,166,176,36,24,18,17,26,29,17,18,9,10
Banteay Meanchey,Sambuor,540,500,89,99,84,31,96,48,78,60,11,15
Banteay Meanchey,Sambuor,579,150,27,21,17,14,25,21,19,16,7,10
Banteay Meanchey,Sambuor,178,201,61,14,15,18,39,15,18,16,5,6
Banteay Meanchey,Sambuor,587,554,108,84,60,58,108,74,65,86,19,20
Banteay Meanchey,Sambuor,760,702,135,70,90,116,63,105,82,95,12,97
Banteay Meanchey,Sambuor,63,57,4,7,8,2,7,10,7,3,0,2
Banteay Meanchey,Sambuor,207,222,43,34,23,21,28,32,24,20,4,10
Banteay Meanchey,Sambuor,239,226,41,21,29,20,41,31,32,30,3,4
Banteay Meanchey,Sambuor,287,268,58,37,33,29,45,45,33,37,14,21
Banteay Meanchey,Sambuor,404,379,48,66,68,48,71,48,43,23,8,11
Banteay Meanchey,Soea,523,543,118,80,48,30,129,80,54,28,21,24
Banteay Meanchey,Soea,198,193,14,16,12,12,14,16,12,12,15,15
Banteay Meanchey,Soea,681,736,122,112,109,89,107,109,105,84,24,21
Banteay Meanchey,Soea,573,579,93,75,72,53,101,79,70,51,26,25
Banteay Meanchey,Soea,886,764,127,78,79,113,120,125,89,100,18,82
Banteay Meanchey,Soea,2069,792,120,45,75,100,78,765,752,165,91,100
Banteay Meanchey,Soea,652,699,142,38,40,36,139,40,42,40,76,37
Banteay Meanchey,Soea,600,576,93,73,74,46,49,74,65,98,41,51
Banteay Meanchey,Soea,819,793,106,202,66,57,104,203,65,63,32,40
Banteay Meanchey,Soea,332,290,36,38,30,15,65,40,24,30,11,4
Banteay Meanchey,Soea,434,502,55,41,39,40,25,48,43,53,66,70
Banteay Meanchey,Soea,345,371,21,46,62,28,22,26,32,46,19,11
Banteay Meanchey,Soea,421,574,34,26,44,25,16,10,15,25,86,64
Banteay Meanchey,Srah Reang,407,398,57,51,48,31,61,58,42,35,32,33
Banteay Meanchey,Srah Reang,498,479,42,81,75,69,63,88,37,65,30,63
Banteay Meanchey,Srah Reang,231,264,45,39,41,9,39,29,43,22,6,13
Banteay Meanchey,Srah Reang,322,296,57,54,25,27,45,42,42,43,22,30
Banteay Meanchey,Srah Reang,503,502,79,81,40,50,64,72,65,62,18,40
Banteay Meanchey,Srah Reang,339,306,59,49,23,31,53,41,33,40,37,43
Banteay Meanchey,Srah Reang,305,297,53,31,48,24,25,45,51,43,16,30
Banteay Meanchey,Srah Reang,303,270,38,67,29,21,38,58,29,37,15,23
Banteay Meanchey,Srah Reang,426,354,64,64,38,43,68,69,38,58,19,29
Banteay Meanchey,Ta Lam,601,588,99,89,58,54,91,105,71,80,31,21
Banteay Meanchey,Ta Lam,458,435,57,89,42,46,68,88,39,57,25,34
Banteay Meanchey,Ta Lam,696,720,121,151,50,66,115,120,57,79,38,57
Banteay Meanchey,Ta Lam,551,563,86,85,53,43,99,85,53,67,22,23
Banteay Meanchey,Ta Lam,660,677,122,133,53,62,136,94,62,46,25,29
Banteay Meanchey,Ta Lam,380,327,60,36,50,34,70,72,25,47,19,23
Banteay Meanchey,Ta Lam,382,360,58,79,36,40,72,72,29,52,21,36
Banteay Meanchey,Ta Lam,307,274,43,40,40,19,21,21,57,46,30,40
Banteay Meanchey,Nam Tau,404,357,49,33,30,69,48,18,27,99,15,26
Banteay Meanchey,Nam Tau,280,246,38,49,28,13,49,48,26,39,15,14
Banteay Meanchey,Nam Tau,572,575,104,67,79,51,111,80,54,61,21,26
Banteay Meanchey,Nam Tau,143,123,18,18,16,12,18,33,17,12,3,4
Banteay Meanchey,Nam Tau,179,184,26,36,21,18,26,28,20,28,11,17
Banteay Meanchey,Nam Tau,238,201,23,28,27,21,35,27,28,28,5,9
Banteay Meanchey,Nam Tau,369,399,74,55,35,30,75,50,35,35,15,14
Banteay Meanchey,Nam Tau,398,389,26,46,46,41,64,59,77,37,22,18
Banteay Meanchey,Nam Tau,146,139,20,22,16,12,24,22,16,20,9,7
Banteay Meanchey,Nam Tau,322,332,47,43,45,24,45,46,38,36,9,10
Banteay Meanchey,Nam Tau,279,263,56,34,33,22,55,44,42,33,14,11
Banteay Meanchey,Nam Tau,587,574,112,110,46,52,109,110,106,47,24,19
Banteay Meanchey,Nam Tau,200,178,36,35,18,20,36,39,22,25,6,8
Banteay Meanchey,Nam Tau,302,211,32,35,24,14,82,34,27,18,1,8
Banteay Meanchey,Nam Tau,850,850,103,206,122,74,103,206,122,74,23,23
Banteay Meanchey,Nam Tau,344,334,40,53,38,21,53,48,40,33,12,20
Banteay Meanchey,Nam Tau,225,211,20,45,30,19,27,49,27,26,11,15
Banteay Meanchey,Paoy Char,905,765,125,109,119,29,169,165,105,110,60,50
Banteay Meanchey,Paoy Char,510,583,71,83,40,25,78,60,23,35,29,25
Banteay Meanchey,Paoy Char,705,682,128,113,78,82,112,125,79,95,50,59
Banteay Meanchey,Paoy Char,365,359,60,62,58,48,64,61,51,57,19,24
Banteay Meanchey,Paoy Char,462,447,82,75,73,48,60,103,70,67,33,37
Banteay Meanchey,Paoy Char,584,649,53,99,56,52,57,58,63,85,57,42
Banteay Meanchey,Paoy Char,270,271,53,50,28,23,30,45,33,25,5,19
Banteay Meanchey,Paoy Char,682,614,60,46,130,56,60,49,115,90,62,70
Banteay Meanchey,Ponley,1382,1392,147,188,182,176,148,169,157,175,63,86
Banteay Meanchey,Ponley,1596,1480,224,238,168,136,277,140,190,198,65,56
Banteay Meanchey,Ponley,1340,1308,183,159,146,227,140,196,210,250,62,50
Banteay Meanchey,Ponley,760,719,98,82,96,104,89,99,90,100,16,20
Banteay Meanchey,Ponley,629,622,90,99,89,110,98,87,88,100,19,16
Banteay Meanchey,Ponley,699,697,120,100,90,94,130,98,102,97,22,17
Banteay Meanchey,Spean Sraeng,653,670,96,84,80,116,88,82,80,130,20,10
Banteay Meanchey,Spean Sraeng,260,244,21,37,36,14,33,42,31,20,5,7
Banteay Meanchey,Spean Sraeng,277,301,55,53,29,25,49,35,30,31,3,13
Banteay Meanchey,Spean Sraeng,306,349,21,37,46,45,20,45,45,33,14,11
Banteay Meanchey,Spean Sraeng,206,206,36,44,19,9,33,33,19,20,10,17
Banteay Meanchey,Spean Sraeng,351,306,46,41,21,21,28,25,36,40,8,25
Banteay Meanchey,Srah Chik,612,555,91,82,57,65,89,77,58,85,39,45
Banteay Meanchey,Srah Chik,340,370,61,43,64,44,51,40,49,38,33,34
Banteay Meanchey,Srah Chik,570,545,97,80,76,62,82,96,94,61,27,32
Banteay Meanchey,Srah Chik,277,296,63,46,22,33,53,30,38,32,7,7
Banteay Meanchey,Srah Chik,352,333,65,56,32,26,66,49,58,23,7,11
Banteay Meanchey,Srah Chik,232,228,36,24,32,19,23,28,32,21,6,10
Banteay Meanchey,Srah Chik,456,419,73,67,65,51,79,75,60,49,20,41
Banteay Meanchey,Srah Chik,247,266,49,40,48,30,50,35,32,43,18,17
Banteay Meanchey,Srah Chik,515,488,88,53,62,62,75,58,58,72,32,34
Banteay Meanchey,Phnum Dei,129,121,28,21,10,9,18,17,10,17,8,6
Banteay Meanchey,Phnum Dei,953,924,135,111,130,98,147,98,75,101,41,45
Banteay Meanchey,Phnum Dei,370,362,45,43,51,18,41,39,45,38,16,27
Banteay Meanchey,Phnum Dei,290,228,44,26,20,28,46,36,30,26,9,18
Banteay Meanchey,Phnum Dei,418,410,76,57,40,32,70,64,41,34,12,18
Banteay Meanchey,Phnum Dei,259,254,50,35,32,19,48,40,36,31,3,10
Banteay Meanchey,Phnum Dei,967,1125,205,189,124,90,188,20,128,187,37,50
Banteay Meanchey,Phnum Dei,458,443,96,60,43,46,90,64,51,56,7,21
Banteay Meanchey,Phnum Dei,368,358,55,72,35,40,52,50,42,46,31,56
Banteay Meanchey,Phnum Dei,112,97,11,14,12,9,18,10,16,8,3,0
Banteay Meanchey,Chhnuor Mean Chey,142,154,23,18,29,10,25,20,14,16,6,5
Banteay Meanchey,Chhnuor Mean Chey,84,82,20,10,9,6,9,10,15,14,3,5
Banteay Meanchey,Chhnuor Mean Chey,297,249,36,40,33,24,65,43,28,37,9,19
Banteay Meanchey,Chhnuor Mean Chey,120,112,6,21,20,10,6,10,20,29,6,4
Banteay Meanchey,Chhnuor Mean Chey,125,147,10,15,12,10,10,8,11,10,10,8
Banteay Meanchey,Chhnuor Mean Chey,324,285,27,26,18,33,30,28,28,34,23,20
Banteay Meanchey,Chhnuor Mean Chey,431,420,47,88,45,43,55,58,64,50,18,25
Banteay Meanchey,Chhnuor Mean Chey,379,411,60,70,45,46,70,68,50,50,18,20
Banteay Meanchey,Chhnuor Mean Chey,175,184,20,18,19,16,16,24,18,18,16,10
Banteay Meanchey,Chhnuor Mean Chey,231,200,32,38,25,15,44,34,25,24,7,8
Banteay Meanchey,Chhnuor Mean Chey,447,674,58,82,79,98,55,68,45,70,47,60
Banteay Meanchey,Chhnuor Mean Chey,289,290,22,30,24,23,27,29,28,28,22,25
Banteay Meanchey,Chob Veari,590,597,68,64,62,66,75,85,85,90,64,30
Banteay Meanchey,Chob Veari,330,270,20,18,22,18,50,45,35,32,22,25
Banteay Meanchey,Chob Veari,250,228,38,30,25,29,41,29,34,30,10,14
Banteay Meanchey,Chob Veari,338,325,54,45,38,28,45,58,45,35,12,15
Banteay Meanchey,Chob Veari,452,449,87,69,38,52,80,55,50,50,14,25
Banteay Meanchey,Chob Veari,450,407,62,65,35,30,71,56,41,30,12,40
Banteay Meanchey,Chob Veari,494,475,85,62,52,40,78,78,45,35,14,35
Banteay Meanchey,Chob Veari,421,421,58,50,35,45,65,64,40,40,14,17
Banteay Meanchey,Chob Veari,441,478,45,44,45,45,45,52,52,50,32,30
Banteay Meanchey,Chob Veari,1177,1219,215,190,148,121,190,182,142,122,25,48
Banteay Meanchey,Chob Veari,1551,1422,235,200,155,150,272,218,150,145,42,58
Banteay Meanchey,Phnum Lieb,700,656,65,82,93,75,106,105,75,82,48,59
Banteay Meanchey,Phnum Lieb,881,771,146,110,68,88,124,144,86,88,32,116
Banteay Meanchey,Phnum Lieb,550,497,83,81,54,47,93,76,62,63,22,28
Banteay Meanchey,Phnum Lieb,390,412,44,35,43,39,40,42,42,40,26,19
Banteay Meanchey,Phnum Lieb,421,412,43,46,42,18,73,48,48,35,18,18
Banteay Meanchey,Phnum Lieb,649,557,63,60,41,45,53,53,54,50,25,98
Banteay Meanchey,Phnum Lieb,467,433,80,60,42,49,85,45,55,45,6,12
Banteay Meanchey,Phnum Lieb,681,674,122,84,64,64,108,90,81,66,14,35
Banteay Meanchey,Phnum Lieb,369,373,70,40,42,28,58,37,40,35,10,15
Banteay Meanchey,Phnum Lieb,285,266,32,38,34,22,38,40,35,30,10,12
Banteay Meanchey,Phnum Lieb,273,269,40,40,24,18,42,28,40,30,18,9
Banteay Meanchey,Phnum Lieb,384,346,30,32,32,26,41,42,35,40,14,14
Banteay Meanchey,Phnum Lieb,426,453,65,65,54,45,45,45,45,50,20,20
Banteay Meanchey,Phnum Lieb,712,642,91,88,80,70,135,120,80,80,31,12
Banteay Meanchey,Phnum Lieb,439,432,40,45,48,50,41,45,50,30,40,40
Banteay Meanchey,Phnum Lieb,262,252,24,24,24,27,25,32,30,32,12,18
Banteay Meanchey,Prasat,325,309,52,45,25,30,50,42,35,45,10,12
Banteay Meanchey,Prasat,171,173,25,15,15,10,15,20,10,20,5,8
Banteay Meanchey,Prasat,226,184,28,32,15,23,33,30,25,36,5,10
Banteay Meanchey,Prasat,176,164,15,15,15,20,20,15,25,20,8,10
Banteay Meanchey,Prasat,375,385,25,98,25,48,25,95,25,55,8,10
Banteay Meanchey,Prasat,247,266,23,22,20,38,23,23,25,25,23,15
Banteay Meanchey,Prasat,159,163,15,22,15,18,25,20,20,20,15,10
Banteay Meanchey,Prasat,331,370,50,50,50,35,45,35,40,30,15,25
Banteay Meanchey,Prasat,156,160,20,17,20,11,15,22,20,18,5,10
Banteay Meanchey,Prasat,535,689,95,65,74,70,65,65,75,50,65,35
Banteay Meanchey,Prasat,186,191,25,20,20,15,31,26,15,15,15,10
Banteay Meanchey,Prasat,182,173,21,21,20,18,26,31,20,25,15,8
Banteay Meanchey,Prasat,183,179,26,21,15,15,21,21,20,15,10,15
Banteay Meanchey,Prasat,243,202,26,31,20,21,25,26,31,25,15,20
Banteay Meanchey,Preah Netr Preah,595,598,92,52,72,52,68,65,68,70,35,32
Banteay Meanchey,Preah Netr Preah,576,518,50,65,80,80,68,68,60,75,30,68
Banteay Meanchey,Preah Netr Preah,541,557,90,90,60,60,66,90,65,65,30,55
Banteay Meanchey,Preah Netr Preah,680,582,103,78,70,60,100,115,65,72,22,55
Banteay Meanchey,Preah Netr Preah,951,831,90,80,80,90,85,95,75,75,70,75
Banteay Meanchey,Preah Netr Preah,279,295,35,35,32,20,30,30,35,25,15,15
Banteay Meanchey,Preah Netr Preah,421,348,35,30,30,25,55,50,45,35,25,25
Banteay Meanchey,Preah Netr Preah,762,723,100,95,85,100,85,95,95,90,60,65
Banteay Meanchey,Preah Netr Preah,355,365,65,65,35,35,65,60,30,39,14,18
Banteay Meanchey,Preah Netr Preah,218,199,20,19,19,20,20,20,22,20,8,8
Banteay Meanchey,Preah Netr Preah,706,722,121,80,85,70,120,70,80,70,50,47
Banteay Meanchey,Preah Netr Preah,314,302,30,35,29,30,36,36,30,32,39,40
Banteay Meanchey,Preah Netr Preah,503,522,60,50,70,70,70,50,50,50,33,30
Banteay Meanchey,Rohal,952,994,170,150,110,100,135,155,110,135,60,65
Banteay Meanchey,Rohal,531,498,95,75,45,22,83,82,82,25,15,15
Banteay Meanchey,Rohal,434,430,68,55,40,25,55,50,35,25,15,15
Banteay Meanchey,Rohal,389,414,60,75,55,35,60,45,40,40,20,15
Banteay Meanchey,Rohal,262,300,40,30,30,20,25,30,30,25,15,20
Banteay Meanchey,Rohal,203,193,45,25,20,15,45,25,30,21,5,10
Banteay Meanchey,Rohal,530,525,25,35,30,117,80,70,50,80,25,20
Banteay Meanchey,Rohal,335,271,25,25,20,20,25,32,20,30,15,25
Banteay Meanchey,Rohal,156,140,25,20,10,18,28,20,22,8,6,6
Banteay Meanchey,Rohal,284,247,20,30,25,26,25,32,30,28,20,20
Banteay Meanchey,Rohal,224,212,15,32,35,10,20,25,22,15,5,20
Banteay Meanchey,Tean Kam,569,512,76,88,82,41,99,78,85,60,16,31
Banteay Meanchey,Tean Kam,219,215,35,26,25,36,33,20,35,30,6,14
Banteay Meanchey,Tean Kam,242,258,42,35,44,22,38,30,26,35,5,10
Banteay Meanchey,Tean Kam,484,472,104,58,62,45,95,60,60,64,15,30
Banteay Meanchey,Tean Kam,230,240,25,35,25,20,35,38,18,20,5,8
Banteay Meanchey,Tean Kam,152,167,15,30,20,18,20,32,8,15,5,5
Banteay Meanchey,Tuek Chour,780,831,86,95,95,75,73,75,68,65,63,70
Banteay Meanchey,Tuek Chour,370,349,75,33,34,35,57,37,37,51,5,13
Banteay Meanchey,Tuek Chour,263,290,25,25,25,28,24,25,28,28,28,28
Banteay Meanchey,Tuek Chour,292,288,40,35,42,28,45,45,30,25,20,12
Banteay Meanchey,Tuek Chour,103,119,10,11,11,10,11,12,5,20,14,8
Banteay Meanchey,Tuek Chour,241,217,20,20,20,25,23,30,25,22,20,15
Banteay Meanchey,Tuek Chour,449,397,30,90,80,23,25,108,104,25,23,22
